Attempts,Scores
1,22
2,25
3,25
4,9
5,9
6,9
7,9
8,9
9,12
10,17
11,14
12,34
13,34
14,23
15,23
16,13
17,20
18,18
19,26
20,26
21,23
22,23
23,27
24,15
25,15
26,14
27,14
28,23
29,21
30,9
31,12
32,12
33,21
34,20
35,20
36,14
37,14
38,20
39,20
40,27
41,17
42,22
43,24
44,25
45,23
46,18
47,19
48,19
49,19
50,31
51,23
52,24
53,24
54,28
55,28
56,21
57,21
58,16
59,16
60,22
61,22
62,16
63,19
64,18
65,25
66,15
67,21
68,27
69,23
70,18
71,34
72,39
73,22
74,30
75,37
76,26
77,22
78,22
79,24
80,23
81,23
82,21
83,36
84,34
85,22
86,25
87,32
88,24
89,29
90,27
91,17
92,20
93,22
94,24
95,25
96,40
97,34
98,28
99,22
100,24
101,23
102,32
103,24
104,21
105,27
106,31
107,26
108,24
109,24
110,25
111,25
112,35
113,30
114,28
115,34
116,31
117,26
118,23
119,29
120,23
121,32
122,34
123,24
124,21
125,33
126,29
127,30
128,30
129,35
130,23
131,43
132,43
133,42
134,28
135,43
136,37
137,42
138,43
139,40
140,40
141,40
142,38
143,43
144,45
145,32
146,42
147,42
148,35
149,43
150,48
151,37
152,44
153,51
154,43
155,49
156,49
157,45
158,56
159,46
160,53
161,44
162,42
163,45
164,49
165,38
166,40
167,46
168,35
169,44
170,39
171,47
172,43
173,45
174,47
175,38
176,50
177,48
178,44
179,45
180,42
181,42
182,54
183,47
184,43
185,47
186,47
187,42
188,43
189,49
190,47
191,46
192,45
193,50
194,41
195,53
196,47
197,45
198,46
199,43
200,44
201,46
202,47
203,48
204,42
205,41
206,43
207,49
208,47
209,47
210,45
211,48
212,51
213,46
214,49
215,41
216,47
217,54
218,54
219,58
220,45
221,46
222,53
223,52
224,54
225,51
226,47
227,53
228,49
229,51
230,44
231,53
232,47
233,47
234,46
235,48
236,56
237,48
238,54
239,55
240,47
241,57
242,50
243,47
244,46
245,59
246,53
247,50
248,47
249,56
250,55
251,56
252,54
253,48
254,54
255,51
256,54
257,49
258,52
259,53
260,54
261,54
262,56
263,53
264,49
265,47
266,54
267,57
268,54
269,47
270,56
271,49
272,50
273,53
274,61
275,57
276,57
277,53
278,55
279,47
280,43
281,50
282,58
283,54
284,51
285,55
286,47
287,61
288,56
289,53
290,45
291,49
292,53
293,54
294,60
295,52
296,50
297,52
298,49
299,52
300,53
301,47
302,52
303,45
304,59
305,48
306,50
307,51
308,56
309,53
310,48
311,61
312,55
313,57
314,58
315,55
316,58
317,59
318,58
319,58
320,61
321,57
322,55
323,52
324,58
325,57
326,55
327,53
328,66
329,59
330,53
331,55
332,49
333,64
334,56
335,57
336,66
337,57
338,62
339,59
340,57
341,60
342,56
343,55
344,56
345,57
346,62
347,52
348,62
349,58
350,59
351,52
352,58
353,59
354,59
355,50
356,59
357,62
358,54
359,61
360,59
361,64
362,71
363,59
364,64
365,59
366,55
367,61
368,62
369,57
370,65
371,56
372,56
373,59
374,54
375,69
376,59
377,57
378,62
379,68
380,59
381,70
382,58
383,53
384,60
385,63
386,64
387,63
388,72
389,63
390,55
391,60
392,54
393,62
394,55
395,70
396,59
397,65
398,65
399,62
400,62
401,68
402,61
403,55
404,62
405,63
406,57
407,72
408,65
409,64
410,59
411,63
412,63
413,52
414,62
415,66
416,59
417,59
418,62
419,69
420,60
421,68
422,64
423,72
424,64
425,68
426,65
427,60
428,70
429,61
430,62
431,72
432,63
433,69
434,66
435,59
436,69
437,72
438,71
439,69
440,66
441,66
442,65
443,60
444,71
445,59
446,63
447,65
448,69
449,64
450,68
451,66
452,71
453,64
454,68
455,65
456,69
457,63
458,69
459,67
460,64
461,70
462,71
463,63
464,71
465,61
466,63
467,57
468,60
469,65
470,68
471,63
472,65
473,57
474,61
475,69
476,68
477,62
478,64
479,66
480,66
481,55
482,62
483,62
484,56
485,66
486,63
487,59
488,64
489,61
490,65
491,69
492,64
493,66
494,59
495,63
496,68
497,58
498,71
499,65
500,64
501,71
502,72
503,66
504,65
505,62
506,67
507,64
508,64
509,75
510,75
511,65
512,62
513,68
514,71
515,66
516,59
517,63
518,64
519,68
520,65
521,67
522,72
523,66
524,61
525,67
526,71
527,72
528,58
529,72
530,59
531,70
532,67
533,68
534,63
535,69
536,58
537,64
538,69
539,63
540,69
541,67
542,63
543,64
544,67
545,63
546,70
547,75
548,75
549,68
550,68
551,65
552,71
553,70
554,66
555,74
556,69
557,66
558,65
559,64
560,69
561,76
562,67
563,69
564,73
565,71
566,63
567,73
568,68
569,65
570,72
571,77
572,60
573,74
574,60
575,63
576,76
577,72
578,76
579,70
580,74
581,75
582,73
583,68
584,64
585,69
586,79
587,69
588,67
589,68
590,71
591,74
592,72
593,71
594,72
595,71
596,66
597,71
598,80
599,73
600,74
